latitude,longitude,target_speed,way_maxspeed,speed_osrm,elevation,azimuth_diff,elevation_diff,,,,,
50.51816738,14.97187515,6.87311209,90,6.888181855,239,0,0,,,,,
50.51816675,14.97188921,6.911030016,90,6.841466664,239,0,0,,,,,
50.51816612,14.97190328,6.948947943,90,6.794751473,239,0,0,,,,,
50.51816559,14.97191735,6.98686587,90,6.770652227,239.0811034,0.811112065,0.081103396,,,,,
50.51816509,14.97193143,7.024783796,90,6.751977485,239.1816597,0,0.1005563,,,,,
50.51816459,14.97194551,7.062701723,90,6.733302744,239.282216,0,0.1005563,,,,,
50.51816409,14.97195959,7.10061965,90,6.714628002,239.3827723,0,0.1005563,,,,,
50.51816358,14.97197367,7.138537576,90,6.695953261,239.4833286,0,0.1005563,,,,,
50.51816308,14.97198774,7.176455503,90,6.67727852,239.5838849,0,0.1005563,,,,,
50.51816258,14.97200182,7.21437343,90,6.658603778,239.6844412,0,0.1005563,,,,,
50.51816208,14.9720159,7.252291356,90,6.639929037,239.7849975,0,0.1005563,,,,,
50.51816157,14.97202998,7.290209283,90,6.621254296,239.8855538,0,0.1005563,,,,,
50.51816107,14.97204406,7.32812721,90,6.602579554,239.9861101,0,0.1005563,,,,,
50.51816049,14.97205813,7.366045136,90,6.652455307,240,0.585462569,0.013889908,,,,,
50.51815989,14.97207219,7.403963063,90,6.713317556,240,0,0,,,,,
50.5181593,14.97208626,7.441880989,90,6.774179806,240,0,0,,,,,
50.5181587,14.97210033,7.479798916,90,6.835042055,240,0,0,,,,,
50.51815811,14.9721144,7.517716843,90,6.895904305,240,0,0,,,,,
50.51815752,14.97212847,7.555634769,90,6.956766554,240,0,0,,,,,
50.51815692,14.97214254,7.593552696,90,7.017628804,240,0,0,,,,,
50.51815633,14.97215661,7.631470623,90,7.078491053,240,0,0,,,,,
50.51815573,14.97217068,7.669388549,90,7.139353303,240,0,0,,,,,
50.51815514,14.97218475,7.707306476,90,7.200215552,240,0,0,,,,,
50.51815454,14.97219882,7.745224403,90,7.208806357,240,0.026811611,0,,,,,
50.51815394,14.97221288,7.783142329,90,7.201679382,240,0,0,,,,,
50.51815334,14.97222695,7.821060256,90,7.194552408,240,0,0,,,,,
50.51815274,14.97224102,7.858978183,90,7.187425433,240,0,0,,,,,
50.51815215,14.97225509,7.896896109,90,7.180298459,240,0,0,,,,,
50.51815155,14.97226916,7.934814036,90,7.173171484,240,0,0,,,,,
50.51815095,14.97228323,7.972731962,90,7.16604451,240,0,0,,,,,
50.51815035,14.9722973,8.010649889,90,7.158917535,240,0,0,,,,,
50.51814975,14.97231137,8.048567816,90,7.15179056,240,0,0,,,,,
50.51814915,14.97232543,8.086485742,90,7.144663586,240,0,0,,,,,
50.51814861,14.97233951,8.124403669,90,7.114850441,240,0.469033322,0,,,,,
50.51814808,14.97235358,8.162321596,90,7.077334819,240,0,0,,,,,
50.51814756,14.97236766,8.200239522,90,7.039819196,240,0,0,,,,,
50.51814703,14.97238174,8.238157449,90,7.002303574,240,0,0,,,,,
50.51814651,14.97239581,8.276075376,90,6.964787952,240,0,0,,,,,
50.51814598,14.97240989,8.313993302,90,6.92727233,240,0,0,,,,,
50.51814546,14.97242396,8.351911229,90,6.889756708,240,0,0,,,,,
50.51814493,14.97243804,8.389829156,90,6.852241086,240,0,0,,,,,
50.51814441,14.97245212,8.427747082,90,6.814725464,240,0,0,,,,,
50.51814386,14.97246619,8.465665009,90,6.785714286,239.9762054,0.667868816,-0.023794579,,,,,
50.51814323,14.97248025,8.503582936,90,6.785714286,239.8712405,0,-0.104964935,,,,,
50.5181426,14.97249432,8.541500862,90,6.785714286,239.7662756,0,-0.104964935,,,,,
50.51814197,14.97250838,8.579418789,90,6.785714286,239.6613106,0,-0.104964935,,,,,
50.51814134,14.97252245,8.617336715,90,6.785714286,239.5563457,0,-0.104964935,,,,,
50.51814071,14.97253651,8.655254642,90,6.785714286,239.4513807,0,-0.104964935,,,,,
50.51814008,14.97255058,8.693172569,90,6.785714286,239.3464158,0,-0.104964935,,,,,
50.51813945,14.97256465,8.731090495,90,6.785714286,239.2414509,0,-0.104964935,,,,,
50.51813882,14.97257871,8.769008422,90,6.785714286,239.1364859,0,-0.104964935,,,,,
50.51813819,14.97259278,8.806926349,90,6.785714286,239.031521,0,-0.104964935,,,,,
50.51813762,14.97260685,8.844844275,90,6.802072334,239,0.538358797,-0.031521007,,,,,
50.51813707,14.97262092,8.882762202,90,6.825451005,239,0,0,,,,,
50.51813653,14.972635,8.920680129,90,6.848829676,239,0,0,,,,,
50.51813598,14.97264907,8.958598055,90,6.872208348,239,0,0,,,,,
50.51813544,14.97266314,8.996515982,90,6.895587019,239,0,0,,,,,
50.51813489,14.97267722,9.034433909,90,6.918965691,239,0,0,,,,,
50.51813435,14.97269129,9.072351835,90,6.942344362,239,0,0,,,,,
50.5181338,14.97270537,9.110269762,90,6.965723033,239,0,0,,,,,
50.51813325,14.97271944,9.148187688,90,6.989101705,239,0,0,,,,,
50.5181327,14.97273351,9.017924869,90,6.966190025,239,0.075596502,0,,,,,
50.51813215,14.97274759,8.740800812,90,6.902856011,239,0,0,,,,,
50.51813159,14.97276166,8.463676755,90,6.839521997,239,0,0,,,,,
50.51813103,14.97277573,8.186552698,90,6.776187983,239,0,0,,,,,
50.51813047,14.9727898,7.909428641,90,6.71285397,239,0,0,,,,,
50.51812992,14.97280388,7.632304584,90,6.649519956,239,0,0,,,,,
50.51812936,14.97281795,7.355180527,90,6.586185942,239,0,0,,,,,
50.51812877,14.97283202,7.115015147,90,6.608452856,239,0.617948098,0,,,,,
50.51812811,14.97284608,6.941451724,90,6.784978251,239,0,0,,,,,
50.51812746,14.97286014,6.767888301,90,6.961503645,239,0,0,,,,,
50.5181268,14.97287421,6.594324878,90,7.13802904,239,0,0,,,,,
50.51812615,14.97288827,6.420761454,90,7.314554435,239,0,0,,,,,
50.5181255,14.97290233,6.247198031,90,7.491079829,239,0,0,,,,,
50.51812489,14.9729164,6.016155109,90,7.542422893,239,1.228585015,0,,,,,
50.51812443,14.97293048,5.604437996,90,7.200282774,239,0,0,,,,,
50.51812397,14.97294456,5.192720884,90,6.858142654,239,0,0,,,,,
